date,airline,flight,aircraft,location,aboard,fatalities,cause,summary
1978-01-01,Air India,855,Boeing 747,Arabian Sea off Bombay India,213,213,pilot error,"The captain became spatially disoriented at night after an attitude indicator failed shortly after takeoff from Bombay."
1978-12-28,United Airlines,173,Douglas DC-8,Portland Oregon USA,181,10,fuel exhaustion,"Circled with a landing gear problem until the tanks ran dry; the accident triggered modern crew resource management training."
1979-05-25,American Airlines,191,McDonnell Douglas DC-10,Chicago O'Hare USA,271,271,engine failure,"The left engine separated on takeoff due to a faulty maintenance shortcut and damaged the wing; two people on the ground also died. Deadliest crash on US soil."
1980-08-19,Saudia,163,Lockheed L-1011,Riyadh Saudi Arabia,301,301,fire,"A cargo hold fire broke out after takeoff; the aircraft landed intact but no evacuation began and everyone aboard died of smoke and fire."
1982-01-13,Air Florida,90,Boeing 737-200,Washington DC USA,79,74,weather,"Took off with ice on the wings and engine probes and anti-ice off; struck the 14th Street Bridge and fell into the Potomac River, killing four motorists too."
1982-06-24,British Airways,9,Boeing 747,near Jakarta Indonesia,263,0,engine failure,"All four engines flamed out after flying through volcanic ash from Mount Galunggung at night; the crew restarted them and landed safely."
1983-07-23,Air Canada,143,Boeing 767,Gimli Manitoba Canada,69,0,fuel exhaustion,"Ran out of fuel at cruise after a metric conversion error during refuelling; glided to a dead-stick landing at a former airbase (the Gimli Glider)."
1983-09-01,Korean Air Lines,007,Boeing 747,near Sakhalin Island USSR,269,269,shot down,"Strayed into Soviet airspace after an autopilot setup error and was shot down by an interceptor."
1985-06-23,Air India,182,Boeing 747,Atlantic Ocean off Ireland,329,329,terrorism,"Destroyed by a bomb planted by Babbar Khalsa militants en route from Montreal to London; the deadliest bombing of a civilian airliner."
1985-08-02,Delta Air Lines,191,Lockheed L-1011,Dallas-Fort Worth Texas USA,163,136,weather,"Flew into a microburst on final approach and hit a car on a highway, killing its driver; led to onboard windshear detection systems."
1985-08-12,Japan Air Lines,123,Boeing 747SR,Mount Takamagahara Japan,524,520,structural failure,"The aft pressure bulkhead ruptured because of a faulty repair years earlier, tearing off the vertical stabilizer and all hydraulics; deadliest single-aircraft accident ever."
1985-12-12,Arrow Air,1285,Douglas DC-8,Gander Newfoundland Canada,256,256,weather,"Stalled just after takeoff, most likely from ice contamination on the wings; the dead included 248 US soldiers returning home."
1987-08-16,Northwest Airlines,255,McDonnell Douglas MD-82,Detroit Michigan USA,155,154,pilot error,"The crew skipped the taxi checklist and took off without flaps or slats; a four-year-old girl was the only survivor and two people on the ground died."
1987-11-28,South African Airways,295,Boeing 747 Combi,Indian Ocean near Mauritius,159,159,fire,"An uncontrolled fire in the main-deck cargo area brought the jet down into the sea while diverting to Mauritius."
1988-04-28,Aloha Airlines,243,Boeing 737-200,near Maui Hawaii USA,95,1,structural failure,"Fatigue cracks caused explosive decompression that peeled off part of the fuselage roof; a flight attendant was lost but the aircraft landed."
1988-07-03,Iran Air,655,Airbus A300,Persian Gulf,290,290,shot down,"Shot down by missiles from the USS Vincennes, which misidentified the airliner as a fighter during a naval engagement."
1988-12-21,Pan Am,103,Boeing 747,Lockerbie Scotland UK,259,259,terrorism,"Destroyed by a bomb in the forward cargo hold; falling wreckage killed 11 residents of Lockerbie."
1989-01-08,British Midland,92,Boeing 737-400,Kegworth England UK,126,47,engine failure,"A fan blade broke up in the left engine and the crew mistakenly shut down the healthy right one; crashed on a motorway embankment short of the runway."
1989-07-19,United Airlines,232,McDonnell Douglas DC-10,Sioux City Iowa USA,296,112,engine failure,"An uncontained tail-engine failure destroyed all three hydraulic systems; the crew steered with engine thrust alone and 184 people survived the crash landing."
1990-01-25,Avianca,052,Boeing 707,Cove Neck New York USA,158,73,fuel exhaustion,"Ran out of fuel after long holding delays and a missed approach at JFK; the crew never declared a formal fuel emergency to ATC."
1991-03-03,United Airlines,585,Boeing 737-200,Colorado Springs Colorado USA,25,25,mechanical failure,"Rolled and dived on final approach after an uncommanded rudder hardover; the cause took investigators years to pin down."
1991-05-26,Lauda Air,004,Boeing 767,near Phu Toei Thailand,223,223,mechanical failure,"A thrust reverser deployed in flight at cruise, causing loss of control and an in-flight breakup."
1994-04-26,China Airlines,140,Airbus A300,Nagoya Japan,271,264,pilot error,"The crew fought the autopilot after accidentally triggering go-around mode; the jet pitched up, stalled and crashed on landing."
1994-06-06,China Northwest Airlines,2303,Tupolev Tu-154,near Xi'an China,160,160,mechanical failure,"Autopilot yaw and roll wiring had been cross-connected during maintenance, causing violent oscillations and breakup in flight."
1994-09-08,USAir,427,Boeing 737-300,near Pittsburgh Pennsylvania USA,132,132,mechanical failure,"A rudder servo valve jam caused a rudder reversal and loss of control on approach; led to a fleet-wide 737 rudder redesign."
1995-12-20,American Airlines,965,Boeing 757,near Cali Colombia,163,159,controlled flight into terrain,"Descended into a mountain at night after a navigation database mix-up and loss of situational awareness during a rushed approach."
1996-05-11,ValuJet,592,Douglas DC-9,Florida Everglades USA,110,110,fire,"Expired chemical oxygen generators loaded improperly as cargo ignited a fierce fire in the hold minutes after takeoff."
1996-07-17,TWA,800,Boeing 747,Atlantic off Long Island USA,230,230,mechanical failure,"The centre fuel tank exploded, most likely ignited by a wiring short circuit; led to fuel tank inerting requirements."
1996-11-12,Saudia / Kazakhstan Airlines,763 / 1907,Boeing 747 / Ilyushin Il-76,Charkhi Dadri India,349,349,mid-air collision,"The deadliest mid-air collision in history, near Delhi, after the Il-76 descended below its assigned level."
1997-08-06,Korean Air,801,Boeing 747,Nimitz Hill Guam USA,254,229,controlled flight into terrain,"Struck a hill on a night approach with the glideslope out of service; cockpit hierarchy and fatigue were cited."
1997-12-19,SilkAir,185,Boeing 737-300,Musi River Indonesia,104,104,deliberate crash,"Dived from cruise into a river; US investigators concluded deliberate pilot action while Indonesian investigators left the cause undetermined."
1998-09-02,Swissair,111,McDonnell Douglas MD-11,off Peggy's Cove Nova Scotia Canada,229,229,fire,"An in-flight fire spread from wiring above the cockpit, linked to the entertainment system; crashed into the Atlantic during a diversion to Halifax."
1999-10-31,EgyptAir,990,Boeing 767,Atlantic off Nantucket USA,217,217,deliberate crash,"The NTSB attributed the dive to deliberate control inputs by the relief first officer; Egyptian authorities disputed the finding."
2000-01-31,Alaska Airlines,261,McDonnell Douglas MD-83,Pacific off California USA,88,88,mechanical failure,"The horizontal stabilizer trim jackscrew failed from missed lubrication; the jet pitched over and dived inverted into the sea."
2000-07-25,Air France,4590,Concorde,Gonesse France,109,109,mechanical failure,"A metal strip on the runway burst a tyre and debris ruptured a fuel tank on takeoff; four people died on the ground and Concorde never recovered commercially."
2001-09-11,American Airlines,11,Boeing 767,New York City USA,92,92,hijacking,"Hijacked by al-Qaeda terrorists and flown into the North Tower of the World Trade Center."
2001-09-11,United Airlines,175,Boeing 767,New York City USA,65,65,hijacking,"Hijacked and flown into the South Tower of the World Trade Center."
2001-09-11,American Airlines,77,Boeing 757,Arlington Virginia USA,64,64,hijacking,"Hijacked and flown into the Pentagon; 125 people inside the building also died."
2001-09-11,United Airlines,93,Boeing 757,Shanksville Pennsylvania USA,44,44,hijacking,"Hijacked; passengers fought back and the aircraft crashed in a field short of its intended target."
2001-11-12,American Airlines,587,Airbus A300,Queens New York USA,260,260,pilot error,"The vertical stabilizer snapped off after aggressive rudder inputs in wake turbulence; five people on the ground also died."
2002-05-25,China Airlines,611,Boeing 747,Taiwan Strait,225,225,structural failure,"Broke apart at cruise from metal fatigue traced to an improper repair after a tailstrike 22 years earlier."
2002-07-01,Bashkirian Airlines / DHL,2937 / 611,Tupolev Tu-154 / Boeing 757,Uberlingen Germany,71,71,mid-air collision,"Collided at night after an overloaded controller and TCAS gave conflicting instructions; most victims were Russian schoolchildren."
2005-08-14,Helios Airways,522,Boeing 737-300,near Grammatiko Greece,121,121,pilot error,"Cabin pressurization was left in manual after maintenance; everyone aboard was incapacitated by hypoxia and the jet flew on until fuel ran out."
2006-08-27,Comair,5191,Bombardier CRJ-100,Lexington Kentucky USA,50,49,pilot error,"Attempted takeoff from a short unlit runway at dawn; the first officer was the sole survivor."
2006-09-29,Gol Transportes Aereos,1907,Boeing 737-800,Mato Grosso Brazil,154,154,mid-air collision,"Clipped over the Amazon by a business jet whose transponder was inactive; the 737 broke up in flight while the smaller jet landed."
2007-07-17,TAM Linhas Aereas,3054,Airbus A320,Sao Paulo Brazil,187,187,runway excursion,"Overran a wet runway at Congonhas with one thrust reverser deactivated and hit a warehouse; 12 people on the ground also died."
2008-08-20,Spanair,5022,McDonnell Douglas MD-82,Madrid Spain,172,154,pilot error,"Took off without flaps or slats after checklist omissions; the takeoff configuration warning never sounded."
2009-01-15,US Airways,1549,Airbus A320,Hudson River New York USA,155,0,bird strike,"Lost both engines to Canada geese after takeoff from LaGuardia; Captain Sullenberger ditched on the Hudson and everyone survived."
2009-02-12,Colgan Air,3407,Bombardier Q400,Clarence Center New York USA,49,49,pilot error,"The captain responded incorrectly to a stall warning on approach to Buffalo; one person in a house also died. Reshaped US pilot experience rules."
2009-06-01,Air France,447,Airbus A330,Atlantic Ocean,228,228,pilot error,"The pitot tubes iced over at cruise and the crew held the aircraft in a stall they never recognized until impact."
2010-04-10,Polish Air Force,101,Tupolev Tu-154,Smolensk Russia,96,96,controlled flight into terrain,"Descended below minimums in thick fog and struck trees; the dead included President Lech Kaczynski and much of Poland's leadership."
2010-05-22,Air India Express,812,Boeing 737-800,Mangalore India,166,158,runway excursion,"Landed long and fast on Mangalore's tabletop runway and plunged into a gorge; eight passengers survived."
2010-07-28,Airblue,202,Airbus A321,Margalla Hills Islamabad Pakistan,152,152,controlled flight into terrain,"Struck the Margalla Hills in monsoon cloud during a mishandled circling approach; the deadliest crash on Pakistani soil."
2010-11-04,Qantas,32,Airbus A380,near Singapore,469,0,engine failure,"An uncontained engine failure shredded wiring and systems across the wing; the crew worked through dozens of failures and landed safely."
2013-07-06,Asiana Airlines,214,Boeing 777,San Francisco California USA,307,3,pilot error,"Struck the seawall short of the runway after the crew let the speed decay on a visual approach."
2014-03-08,Malaysia Airlines,370,Boeing 777,southern Indian Ocean,239,239,unknown,"Vanished en route from Kuala Lumpur to Beijing after turning off course; the main wreckage has never been found."
2014-07-17,Malaysia Airlines,17,Boeing 777,Hrabove Ukraine,298,298,shot down,"Shot down over eastern Ukraine by a Buk surface-to-air missile brought in from Russia."
2014-12-28,Indonesia AirAsia,8501,Airbus A320,Java Sea Indonesia,162,162,mechanical failure,"A cracked solder joint kept faulting the rudder limiter; the crew's response cut out the autopilot and the jet stalled from cruise."
2015-02-04,TransAsia Airways,235,ATR 72,Keelung River Taipei Taiwan,58,43,engine failure,"One engine auto-feathered after takeoff and the crew shut down the working one; clipped a bridge on dashcam video before hitting the river."
2015-03-24,Germanwings,9525,Airbus A320,French Alps France,150,150,deliberate crash,"The first officer locked the captain out of the cockpit and flew the aircraft into a mountainside."
2015-10-31,Metrojet,9268,Airbus A321,Sinai Peninsula Egypt,224,224,terrorism,"Destroyed by a bomb placed aboard at Sharm El Sheikh; the ISIS Sinai branch claimed the attack."
2016-05-19,EgyptAir,804,Airbus A320,Mediterranean Sea,66,66,fire,"Crashed en route from Paris to Cairo; evidence points to an in-flight fire near the cockpit though the findings remain disputed."
2016-08-03,Emirates,521,Boeing 777,Dubai UAE,300,0,pilot error,"Hit the runway during a go-around attempted without takeoff thrust; all 300 aboard evacuated the burning jet but a firefighter died."
2016-11-28,LaMia,2933,Avro RJ85,near Medellin Colombia,77,71,fuel exhaustion,"Ran out of fuel minutes from landing after skipping a planned stop; victims included most of Brazil's Chapecoense football team."
2018-04-17,Southwest Airlines,1380,Boeing 737-700,Pennsylvania USA,149,1,engine failure,"A fatigued fan blade failed and debris smashed a cabin window, causing decompression; one passenger died and the jet landed in Philadelphia."
2018-05-18,Cubana de Aviacion,972,Boeing 737-200,Havana Cuba,113,112,pilot error,"A leased jet stalled and crashed shortly after takeoff; investigators cited crew errors in weight and balance calculations."
2018-10-29,Lion Air,610,Boeing 737 MAX 8,Java Sea Indonesia,189,189,design flaw,"MCAS repeatedly pushed the nose down on faulty angle-of-attack data; the first of the two 737 MAX disasters."
2019-03-10,Ethiopian Airlines,302,Boeing 737 MAX 8,near Bishoftu Ethiopia,157,157,design flaw,"MCAS activated on bad sensor data after takeoff from Addis Ababa; the MAX fleet was grounded worldwide days later."
2019-05-05,Aeroflot,1492,Sukhoi Superjet 100,Moscow Russia,78,41,fire,"Returned after a lightning strike, landed hard and bounced; the gear punched into the fuel tanks and the rear cabin burned."
2020-01-08,Ukraine International Airlines,752,Boeing 737-800,near Tehran Iran,176,176,shot down,"Shot down by Iranian air defence missiles minutes after takeoff amid heightened military tensions."
2020-08-07,Air India Express,1344,Boeing 737-800,Kozhikode India,190,21,runway excursion,"Overran the tabletop runway at Calicut in heavy rain and broke apart in a gorge; both pilots were among the dead."
2021-01-09,Sriwijaya Air,182,Boeing 737-500,Java Sea Indonesia,62,62,mechanical failure,"An autothrottle fault created asymmetric thrust after takeoff; the crew lost control and the jet dived into the sea."
2022-03-21,China Eastern Airlines,5735,Boeing 737-800,Guangxi China,132,132,unknown,"Dived from cruise into a mountainside; no final report has been released, with reporting pointing to deliberate control inputs."
2023-01-15,Yeti Airlines,691,ATR 72,Pokhara Nepal,72,72,pilot error,"Both propellers were inadvertently feathered on approach when the crew moved the condition levers instead of the flaps."
2024-01-02,Japan Airlines / Japan Coast Guard,516,Airbus A350 / DHC-8,Tokyo Haneda Japan,385,5,runway collision,"The A350 struck a Coast Guard turboprop that had entered the runway; all 379 aboard the airliner evacuated while five Coast Guard crew died."
2024-08-09,Voepass,2283,ATR 72,Vinhedo Brazil,62,62,weather,"Entered a flat spin and fell almost vertically after severe icing at altitude; Brazil's deadliest crash since 2007."
2024-12-25,Azerbaijan Airlines,8243,Embraer 190,near Aktau Kazakhstan,67,38,shot down,"Damaged by Russian air defence fire near Grozny and crashed while diverting across the Caspian; 29 people survived."
2024-12-29,Jeju Air,2216,Boeing 737-800,Muan South Korea,181,179,bird strike,"Suffered a bird strike on approach, belly-landed without gear and overran into a concrete localizer mound; two crew in the tail survived."
2025-01-29,American Eagle (PSA) / US Army,5342,Bombardier CRJ700 / UH-60 Black Hawk,Washington DC USA,67,67,mid-air collision,"A regional jet on final to Reagan National collided with an Army helicopter over the Potomac; no one on either aircraft survived."
2025-06-12,Air India,171,Boeing 787-8,Ahmedabad India,242,241,unknown,"Crashed into a medical college hostel seconds after takeoff; the preliminary report centred on both engine fuel control switches moving to cutoff. One passenger survived and 19 people died on the ground."
2025-11-04,UPS Airlines,2976,McDonnell Douglas MD-11F,Louisville Kentucky USA,3,3,engine failure,"The left engine and pylon separated during takeoff and the freighter crashed into businesses beyond the runway; people on the ground were also killed."
